subject,cohort_of,sector,is_failure_strict,is_failure_extended,distress_score,signals_fired,novelty_spike,declining_ud,chronic_ud,max_rank,mean_rank,t0_rank,own_max_raw,event_fy,reference_date,data_found,fwd_12m_excess,fwd_24m_excess,fwd_36m_excess,ref_price,ref_date,fwd_12m_return,fwd_12m_status,fwd_24m_return,fwd_24m_status,fwd_36m_return,fwd_36m_status,reason
M,ASNA,Specialty retail,0,1,40,1,1,0,0,1.0,0.54,0.33,0.474,2019,2020-04-01,True,1.894929480291061,3.6874901682654375,2.7265186683976492,3.6826930046081543,2020-04-01,2.5485326162181914,ok,4.5816164534575,ok,3.4742422376727062,ok,
JWN,ASNA,Specialty retail,0,1,40,1,1,0,0,1.0,0.83,1.0,0.273,2019,2020-04-01,False,,,,,,,,,,,,
KSS,BBBY,Specialty retail,0,1,40,1,1,0,0,1.0,0.82,1.0,0.238,2022,2023-04-01,True,0.04648628772942098,-0.9888601092996143,-0.9747014725857486,19.259037017822266,2023-04-03,0.33550305914007356,ok,-0.590360554454159,ok,-0.33018459819186985,ok,
JWN,BBBY,Specialty retail,0,1,40,1,1,0,0,1.0,0.79,0.5,0.301,2022,2023-04-01,False,,,,,,,,,,,,
ODFL,YELL,LTL trucking,0,0,40,1,1,0,0,1.0,0.62,1.0,0.135,2022,2023-04-01,True,0.021962520461846213,-0.39846268384658556,-0.45519646169873873,164.29550170898438,2023-04-03,0.3109792918724988,ok,3.687099886972278e-05,ok,0.18932041269514,ok,
KSS,EXPR,Specialty apparel retail,0,1,40,1,1,0,0,1.0,0.88,1.0,0.238,2022,2023-04-01,True,0.04648615546581508,-0.9888601003506174,-0.9747015389219502,19.2590389251709,2023-04-03,0.33550292687646766,ok,-0.5903605455051621,ok,-0.33018466452807155,ok,
JWN,EXPR,Specialty apparel retail,0,1,40,1,1,0,0,1.0,0.88,0.67,0.301,2022,2023-04-01,False,,,,,,,,,,,,
HES,CHK,Energy E&P,0,0,40,1,1,0,0,1.0,0.75,1.0,0.164,2019,2020-04-01,False,,,,,,,,,,,,
COP,WLL,Energy E&P,0,0,40,1,1,0,0,1.0,0.88,0.75,0.141,2019,2020-04-01,True,0.24737424879263137,1.760876699608415,2.4009149671831653,23.592636108398438,2020-04-01,0.9009773847197619,ok,2.6550029848004777,ok,3.1486385364582223,ok,
HES,WLL,Energy E&P,0,0,40,1,1,0,0,1.0,0.75,1.0,0.164,2019,2020-04-01,False,,,,,,,,,,,,
PFE,ENDP,Specialty pharma,0,0,40,1,1,0,0,1.0,0.81,0.75,0.171,2021,2022-04-01,True,-0.09354821013037606,-0.6049386426134464,-0.7226519116869319,40.93588638305664,2022-04-01,-0.17084096807623675,ok,-0.4155537872782251,ok,-0.4322465354660386,ok,
BMY,ENDP,Specialty pharma,0,0,40,1,1,0,0,1.0,0.81,0.5,0.322,2021,2022-04-01,True,0.04272035173177936,-0.42635521003005855,-0.36829141475047955,62.3183479309082,2022-04-01,-0.03457240621408132,ok,-0.23697035469483724,ok,-0.0778860385295862,ok,
BMY,MNK,Specialty pharma,0,0,40,1,1,0,0,1.0,1.0,1.0,0.322,2019,2020-04-01,True,-0.4599509493990731,-0.4490271757966618,-0.35258509565174334,43.123931884765625,2020-04-01,0.1936521865280574,ok,0.4450991093954008,ok,0.39513847362331356,ok,
ALGN,SDC,Dental / consumer health,0,0,40,1,1,0,0,1.0,1.0,1.0,0.285,2022,2023-04-01,True,-0.3125390321818845,-0.9132085890645768,-1.1208266667279863,327.3500061035156,2023-04-03,-0.023522260771231904,ok,-0.5147090342191215,ok,-0.4763097923341076,ok,
PIR,PIR,Home goods specialty,1,1,37,1,1,0,0,0.83,0.62,0.67,0.128,2019,2020-04-01,False,,,,,,,,,,,,
M,BBBY,Specialty retail,0,1,37,1,1,0,0,0.83,0.6,0.83,0.131,2022,2023-04-01,True,-0.20551844663711838,-0.6697915535786174,-0.5466404485066755,16.477264404296875,2023-04-03,0.0834983247735342,ok,-0.27129199873316207,ok,0.09787642588720327,ok,
BBY,EXPR,Specialty apparel retail,0,0,37,1,0,1,0,0.83,0.5,0.33,0.095,2022,2023-04-01,True,-0.19653910875878872,-0.370269920208085,-0.6971732921210053,67.76844024658203,2023-04-03,0.09247766265186386,ok,0.028229634637370257,ok,-0.05265641772712663,ok,
M,EXPR,Specialty apparel retail,0,1,37,1,1,0,0,0.83,0.67,0.83,0.131,2022,2023-04-01,True,-0.20551832121525,-0.6697915271042019,-0.5466403214204498,16.477262496948242,2023-04-03,0.0834984501954026,ok,-0.27129197225874657,ok,0.09787655297342893,ok,
BBY,BBBY,Specialty retail,0,0,36,1,0,1,0,0.8,0.37,0.17,0.095,2022,2023-04-01,True,-0.1965389857672603,-0.37026980444962276,-0.697173185468724,67.7684326171875,2023-04-03,0.09247778564339225,ok,0.028229750395832545,ok,-0.052656311074845225,ok,
XPO,YELL,LTL trucking,0,0,35,1,1,0,0,0.75,0.75,0.75,0.109,2022,2023-04-01,True,2.6076892308391284,2.0418586241178867,4.577101296496017,31.270000457763672,2023-04-03,2.896706002249781,ok,2.4403581789633417,ok,5.221618170889895,ok,
CHD,TUP,Household consumer,0,0,35,1,1,0,0,0.75,0.75,0.75,0.108,2022,2023-04-01,True,-0.093506051568015,-0.13157984999995204,-0.5566148696986689,85.50064849853516,2023-04-03,0.19551071984263757,ok,0.26691970484550326,ok,0.08790200469520978,ok,
COP,CHK,Energy E&P,0,0,35,1,1,0,0,0.75,0.75,0.75,0.141,2019,2020-04-01,True,0.24737424879263137,1.760876699608415,2.4009149671831653,23.592636108398438,2020-04-01,0.9009773847197619,ok,2.6550029848004777,ok,3.1486385364582223,ok,
SAVE,SAVE,ULCC airline,1,1,33,1,0,1,0,0.67,0.39,0.25,0.041,2023,2024-04-01,False,,,,,,,,,,,,no ref price
JCP,JCP,Dept store retail,1,1,33,1,0,1,0,0.67,0.46,0.33,0.067,2019,2020-04-01,False,,,,,,,,,,,,
CVS,RAD,Drugstore,0,1,33,1,0,1,0,0.67,0.42,0.33,0.131,2022,2023-04-01,True,-0.20731390318988263,-0.43538574944449254,-0.5845960462919894,67.17021179199219,2023-04-03,0.08170286822076993,ok,-0.03688619459903723,ok,0.05992082810188941,ok,
ENDP,ENDP,Specialty pharma,1,1,30,1,0,1,0,0.5,0.38,0.25,0.057,2021,2022-04-01,False,,,,,,,,,,,,
MNK,MNK,Specialty pharma,1,1,30,1,0,1,0,0.5,0.38,0.25,0.051,2019,2020-04-01,False,,,,,,,,,,,,
