subject,cohort_of,sector,n_years,mean_rank,max_rank,first_rank,t0_rank,own_max_raw,cohort_max_raw,novelty_spike,declining_ud,chronic_ud,any_signal
COP,CHK,Energy E&P,2,0.75,0.75,0.75,0.75,0.141,0.177,True,False,False,True
DVN,CHK,Energy E&P,2,0.5,0.5,0.5,0.5,0.129,0.177,False,False,False,False
HES,CHK,Energy E&P,3,0.75,1.0,1.0,1.0,0.164,0.177,True,False,False,True
COP,WLL,Energy E&P,2,0.88,1.0,1.0,0.75,0.141,0.164,True,False,False,True
DVN,WLL,Energy E&P,2,0.5,0.5,0.5,0.5,0.129,0.164,False,False,False,False
HES,WLL,Energy E&P,3,0.75,1.0,1.0,1.0,0.164,0.164,True,False,False,True
PFE,ENDP,Specialty pharma,4,0.81,1.0,0.75,0.75,0.171,0.322,True,False,False,True
BMY,ENDP,Specialty pharma,4,0.81,1.0,1.0,0.5,0.322,0.322,True,False,False,True
MRK,ENDP,Specialty pharma,4,0.5,1.0,0.25,1.0,0.068,0.322,False,False,False,False
PFE,MNK,Specialty pharma,2,0.75,0.75,0.75,0.75,0.076,0.322,False,False,False,False
BMY,MNK,Specialty pharma,2,1.0,1.0,1.0,1.0,0.322,0.322,True,False,False,True
MRK,MNK,Specialty pharma,2,0.38,0.5,0.25,0.5,0.052,0.322,False,False,False,False
ALGN,SDC,Dental / consumer health,3,1.0,1.0,1.0,1.0,0.285,0.285,True,False,False,True
HSIC,SDC,Dental / consumer health,3,0.67,0.67,0.67,0.67,0.18,0.285,False,False,False,False
CAR,HTZ,Car rental / equipment,2,0.67,1.0,0.33,1.0,0.022,0.065,False,False,False,False
URI,HTZ,Car rental / equipment,2,0.5,0.67,0.67,0.33,0.025,0.065,False,False,False,False
