ticker,fiscal_year,risk_chars,redflag_total,token_count,neg_ratio,unc_ratio,lit_ratio,netneg_ratio,group
BA,2017,36175,0,5364,0.03784489187173751,0.031879194630872486,0.018456375838926176,0.028896346010439968,failure
BA,2018,37478,0,5556,0.03761699064074874,0.03095752339812815,0.0183585313174946,0.028797696184305256,failure
BA,2019,44288,0,6561,0.03901844231062338,0.029263831732967534,0.018137479042828836,0.03109282121627801,failure
BA,2020,55828,2,8336,0.04006717850287908,0.03035028790786948,0.015595009596928982,0.03382917466410749,failure
BA,2021,59403,1,8816,0.039587114337568056,0.03028584392014519,0.015653357531760434,0.033461887477313976,failure
BA,2022,48377,0,7134,0.038127277824502384,0.03083823941687693,0.017521726941407346,0.02915615363050182,failure
BA,2023,48954,0,7201,0.03999444521594223,0.030829051520622135,0.017497569781974726,0.03180113873073184,failure
BA,2024,70864,0,10460,0.03652007648183556,0.027246653919694074,0.01615678776290631,0.029063097514340344,failure
BA,2025,70168,0,10327,0.03640941222039314,0.027694393337852233,0.016655369419967078,0.027888060424130917,failure
BBBY,2019,39523,0,5804,0.02222605099931082,0.02308752584424535,0.0074086836664369405,0.0093039283252929,failure
BBBY,2020,53039,4,7890,0.02610899873257288,0.021546261089987327,0.006083650190114068,0.016476552598225603,failure
BBBY,2021,67078,7,9948,0.028246883795737837,0.023019702452754323,0.005830317651789305,0.014374748693204665,failure
BBBY,2022,88108,7,13038,0.029529068875594415,0.023086362939101088,0.006289308176100629,0.017257248044178553,failure
BBBY,2023,68278,18,10293,0.030797629456912466,0.020790828718546584,0.02098513552900029,0.02302535703876421,failure
BBY,2019,45739,4,6818,0.044734526254033444,0.0354942798474626,0.01305368143150484,0.031094162511000296,survivor
BBY,2020,51540,4,7653,0.04468835750686005,0.03449627597020776,0.01241343264079446,0.0318829217300405,survivor
BBY,2021,59761,3,8899,0.042251938420047194,0.03652095741094505,0.011237217664906169,0.02876727722215979,survivor
BBY,2022,64671,3,9630,0.042782969885773625,0.036033229491173414,0.012876427829698858,0.030218068535825544,survivor
BBY,2023,60114,3,8892,0.04520917678812416,0.03508771929824561,0.014507422402159244,0.032501124606387766,survivor
BBY,2024,60542,4,8886,0.04704028809363043,0.03409858203916273,0.014742291244654513,0.03398604546477605,survivor
BBY,2025,58404,3,8472,0.04792256846081209,0.03552880075542965,0.014164305949008499,0.035174693106704444,survivor
BBY,2026,59302,2,8606,0.046014408552172904,0.03555658842667906,0.014524750174297002,0.03230304438763654,survivor
GRMN,2022,104723,2,15336,0.028429838288993217,0.02464788732394366,0.010106937923839333,0.017149191444966093,survivor
GRMN,2023,99919,2,14562,0.027880785606372752,0.023485784919653894,0.010781486059607197,0.01627523691800577,survivor
GRMN,2024,103113,2,15006,0.027988804478208718,0.02379048380647741,0.010462481673997067,0.016460082633613225,survivor
GRMN,2025,108702,2,15747,0.027941830189877438,0.024830126373277448,0.01047818632120404,0.017082618911538706,survivor
JPM,2019,113548,4,16674,0.05613530046779417,0.02926712246611491,0.018471872376154493,0.05103754348086842,survivor
JPM,2020,130395,4,19130,0.05483533716675379,0.030057501306847884,0.018661787767903816,0.049921589127025615,survivor
JPM,2021,127974,4,18711,0.05499438832772166,0.02950136283469617,0.018919352252685585,0.04943616054727166,survivor
JPM,2022,123984,4,18108,0.05610779765849348,0.029489728296885353,0.01910757676165231,0.050861497680583165,survivor
JPM,2023,132062,4,19257,0.05618736044035935,0.030170846964740095,0.018902217375499818,0.05052708106143221,survivor
JPM,2024,136238,3,19340,0.059203722854188214,0.029886246122026887,0.019906928645294725,0.05325749741468459,survivor
JPM,2025,112610,4,15842,0.06299709632622144,0.03749526574927408,0.017043302613306402,0.05567478853680091,survivor
LMT,2017,51900,1,7775,0.03614147909967846,0.034469453376205786,0.02752411575562701,0.02546623794212219,survivor
